HEADERID,LINEITEMNUMBER,ITEMNAME,ITEMCODE,TRADINGGROUP,DESTINATIONORG,DONATEDQUANTITY,PROP1,PROP2,PROP3,PROP4,PROP5,PROP6,PROP7,PROP8,PROP9,PROP10,PROP11,PROP12,PROP13,PROP14,PROP16,PROP17,PROP18,PROP19,PROP20,NOTIFY,PROP15,STATUS,ACCEPTEDQUANTITY,ACCEPTEDDATE,RECEIPTEDQUANTITY,RECEIPTEDDATE,DESTINATIONORGNAME,COMMENTS,USERID,USERFIRSTNAME,USERLASTNAME,USEREMAIL,RPROP1,RPROP2,RPROP3,RPROP4,RPROP5,RPROP6,RPROP7,RPROP8,RPROP9,RPROP10,RPROP11,RPROP12,RPROP13,RPROP14,RPROP15,NUTRITIONALCODE,FOODSOURCE,FEATURETYPE
003001-20745,3,Assorted Produce (R),40003,,,0.0,LB,270,0,LOOSE,,,0,,,,,,,,,,,,,,,1,270.0,20040610.0,,,,,,,,,0,,,,,,,,,,,,,,,,,
003001-20745,4,Schafer Bread,50020,,,0.0,LB,152,0,BAG,,,0,,,,,,,,,,,,,,,1,152.0,20040610.0,,,,,,,,,0,,,,,,,,,,,,,,,,,
003001-20745,2,Assorted Free D,50001,,,0.0,LB,294,0,BULKBOX,,,0,,,,,,,,,,,,,,,1,294.0,20040610.0,,,,,,,,,0,,,,,,,,,,,,,,,,,
003001-20745,5,General Reclamation D Bulk Box,40004,,,0.0,LB,180,0.18,BULKBOX,,,0,,,,,,,,,,,,,,,1,180.0,20040610.0,,,,,,,,,32.4,,,,,,,,,,,,,,,,,
003001-20745,6,Apples R 12/3 lbs D,10052,,,0.0,CS,160,0,CASE,,,0,,,,,,,,,,,,,,,1,4.0,20040610.0,,,,,,,,,0,,,,,,,,,,,,,,,,,
003001-20745,7,Potatoes 1/10 lb Bag (D),10097,,,0.0,EA,100,0,BAG,,,0,,,,,,,,,,,,,,,1,10.0,20040610.0,,,,,,,,,0,,,,,,,,,,,,,,,,,
003001-21073,3,SF - Mixed Fruit 4 oz,82059,,,0.0,EA,8.7,0.16667,OTHER,,DRY,0,,,,,,,,,,,,,,,1,30.0,20040623.0,,,,,,,,,5,,,,,,,,,,,,,,,,,
ID_193,2,Bugles 36-1.5oz (D),12353,,,1.0,CS,5,0.9,Case,,Dry,0,,,,,,,,,,,,,2.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003001-21070,2,SF - Club Sandwich (930),82055,,,0.0,EA,11.2,0.55,OTHER,,FROZEN,0,,,,,,,,,,,,,,,1,40.0,20040623.0,,,,,,,,,22,,,,,,,,,,,,,,,,,
003001-21070,3,SF - Mixed Fruit 4 oz,82059,,,0.0,EA,11.6,0.16667,OTHER,,DRY,0,,,,,,,,,,,,,,,1,40.0,20040623.0,,,,,,,,,6.67,,,,,,,,,,,,,,,,,
003001-21070,4,SF - Apple Juice,82038,,,0.0,EA,10,0.092,OTHER,,REF,0,,,,,,,,,,,,,,,1,40.0,20040623.0,,,,,,,,,3.68,,,,,,,,,,,,,,,,,
003001-21070,5,Milk 2% Reduced Fat 8oz,82048,,,0.0,EA,20,0.2015,OTHER,,REF,0,,,,,,,,,,,,,,,1,40.0,20040623.0,,,,,,,,,8.06,,,,,,,,,,,,,,,,,
003001-21070,6,Chocolate Milk,82049,,,0.0,EA,20,0.2155,OTHER,,REF,0,,,,,,,,,,,,,,,1,40.0,20040623.0,,,,,,,,,8.62,,,,,,,,,,,,,,,,,
003001-20816,2,SF - Turkey Ham Sandwich (929),82054,,,0.0,EA,6,0.54,OTHER,,FROZEN,0,,,,,,,,,,,,,,,1,20.0,20040623.0,,,,,,,,,10.8,,,,,,,,,,,,,,,,,
003001-20816,3,Milk 2% Reduced Fat 8oz,82048,,,0.0,EA,10,0.20149,OTHER,,REF,0,,,,,,,,,,,,,,,1,20.0,20040623.0,,,,,,,,,4.03,,,,,,,,,,,,,,,,,
003001-20816,4,SF - Orange Juice,82037,,,0.0,EA,5,0.11115,OTHER,,REF,0,,,,,,,,,,,,,,,1,20.0,20040623.0,,,,,,,,,2.22,,,,,,,,,,,,,,,,,
